restNm,type,위치,operatingTime,closedDay,svarCd
용인(강릉),놀이터,"휴게소, 주유소 사이",24시간,연중무휴,207
덕평,놀이터,입구로부터 50m,10:00~19:00(동절기 18시까지),연중무휴,292
충주(양평),놀이터,휴게소 전망대 옆,24시간,연중무휴,169
단양팔경(부산),놀이터,매장 뒤 테마공원내,24시간,연중무휴,223
금왕(제천),놀이터,매장으로부터 38m,24시간,연중무휴,414
화서(영덕),놀이터,테마공원 내,24시간,연중무휴,280
죽암(서울),놀이터,휴게소 우측 30m,24시간,연중무휴,24
서산(목포),놀이터,입구로부터 300m,24시간,연중무휴,98
군산(서울),놀이터,입구로부터 200m,24시간,연중무휴,106
오수(완주),놀이터,"창업매장, 열린매장 사이",10:00~19:00(동절기 18시까지),연중무휴,360
진주(부산),놀이터,본관에서 25m,10시~21시(동절기 18시까지),매주월요일 휴무,347
신탄진(서울),놀이터,휴게소 건물 우측 야구장 옆,09:00~18:00(동절기 17시까지),연중무휴,28
매송(목포),놀이터,"휴게소, 주유소 사이",24시간,연중무휴,555
매송(서울),놀이터,"휴게소, 주유소 사이",24시간,연중무휴,554
마장,놀이터,상행서 푸드코트 앞,08:00~20:00,연중무휴,409
