본부,휴게소명,가능여부
수도권,구리(일산),1
수도권,기흥(복합),1
수도권,기흥(부산),1
수도권,마장,1
수도권,매송(목포),1
수도권,매송(서울),1
수도권,서울만남(부산),1
수도권,시흥하늘,1
수도권,안성(부산),1
수도권,안성(서울),1
수도권,이천(남이),1
수도권,이천(하남),1
수도권,죽전(서울),1
수도권,평택,0
수도권,하남드림,1
수도권,화성(목포),1
수도권,화성(서울),1
수도권,안산,0
강원,강릉(강릉),1
강원,강릉(인천),1
강원,구정(삼척),1
강원,구정(속초),1
강원,내린천,1
강원,덕평,1
강원,동해(삼척),1
강원,문막(강릉),1
강원,문막(인천),1
강원,서여주(양평),1
강원,서여주(창원),1
강원,여주(강릉),1
강원,여주(인천),1
강원,옥계(속초),1
강원,용인(강릉),1
강원,용인(인천),1
강원,원주(부산),1
강원,원주(춘천),1
강원,춘천(부산),1
강원,평창(강릉),1
강원,평창(인천),1
강원,홍천(서울),1
강원,홍천(양양),1
강원,홍천강(춘천),1
강원,횡성(강릉),1
강원,횡성(인천),1
 충북 , 괴산(양평) ,1
 충북 , 괴산(창원) ,1
 충북 , 금왕(제천) ,1
 충북 , 금왕(평택) ,1
 충북 , 단양팔경(부산) ,1
 충북 , 단양팔경(춘천) ,1
 충북 , 문경(양평) ,1
 충북 , 문경(창원) ,1
 충북 , 선산(양평) ,1
 충북 , 선산(창원) ,1
 충북 , 속리산(청주) ,1
 충북 , 안성맞춤(제천) ,1
 충북 , 안성맞춤(평택) ,1
 충북 , 오창(남이) ,1
 충북 , 오창(하남) ,1
 충북 , 음성(남이) ,1
 충북 , 음성(하남) ,1
충북, 천등산(제천) ,1
충북, 천등산(평택) ,1
 충북 , 충주(양평) ,1
 충북 , 충주(창원) ,1
 충북 , 치악(부산) ,1
 충북 , 치악(춘천) ,1
 충북 , 화서(영덕) ,1
 충북 ,문의청남대(영덕),0
 충북 ,문의청남대(청주),0
대전충남,공주(당진),1
대전충남,공주(대전),1
대전충남,금강(부산),1
대전충남,망향(부산),1
대전충남,부여백제(공주),1
대전충남,부여백제(서천),1
대전충남,서산(목포),1
