bestfoodyn,etc,foodCost,foodMaterial,foodNm,lsttmAltrDttm,premiumyn,recommendyn,routeCd,routeNm,seasonMenu,seq,stdRestCd,stdRestNm,svarAddr
N,부산어묵꼬치를 첨가하여 우동만의 시원하고 담백한 맛에 어묵의 식감과 향을 함께 즐길 수 있는 우동.,7000,"냉동면 1ea
육수 435ml
부산어묵 1ea
대파 10g
치커리 10g",농심어묵우동,2024-05-07,N,Y,10,경부선,4,272,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,오동통한 면발과 시원하고 깔끔한 육수에 유부를 첨가하여 만든 대표적인 우동입니다.,6000,,농심유부우동,2024-05-07,Y,N,10,경부선,4,273,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,표준레시피 순두부 베이스와 볶음양념을 넣고 팔팔 끓여 내는게 특징이며 구수한 맛이 특징.,9000,"순두부200g호박20g양파20g
바지락20g돈민찌40g
간마늘5g진간장5ml
참기름3g식용유5ml
고추가루5g다진파20g
소금3g계란25g",순두부찌개,2024-05-07,N,N,10,경부선,4,275,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,더이상 설명이 필요없는 휴게소 대표 간식 메뉴입니다.,3500,,호도과자,2024-05-07,N,N,10,경부선,4,1139,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,휴게소 대표 간식 메뉴 반건조 오징어를 맥반석에 구워 고추장과 함께 제공되는 메뉴입니다.,7000,,맥반석오징어구이,2024-05-07,N,N,10,경부선,4,1140,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,8000,,옛날자장면,2024-05-07,N,N,10,경부선,4,2705,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,"오로지 고속도로에서만 맛볼 수 있는 휴게소 별미 메뉴 EX라면입니다.
가성비 으뜸으로 휴게소 방문시 꼭 맛보세요",4000,,(실속)EX라면,2024-05-07,N,N,10,경부선,4,6331,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,9500,,직화 제육 덮밥,2024-05-07,N,N,10,경부선,4,7252,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,교동짬뽕,2024-05-07,N,N,10,경부선,4,8657,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,새우볶음밥,2024-05-07,N,N,10,경부선,4,8659,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
