app,bestfoodyn,etc,foodCost,foodMaterial,foodNm,lastDtime,lastId,lsttmAltrDttm,lsttmAltrUser,premiumyn,recommendyn,restCd,routeCd,routeNm,seasonMenu,seq,stdRestCd,stdRestNm,svarAddr
Y,N,부산어묵꼬치를 첨가하여 우동만의 시원하고 담백한 맛에 어묵의 식감과 향을 함께 즐길 수 있는 우동.,7000,"냉동면 1ea
육수 435ml
부산어묵 1ea
대파 10g
치커리 10g",농심어묵우동,2024-04-09,MANN003,2024-05-07,SYSTEM,N,Y,S000001,0010,경부선,4,272,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,오동통한 면발과 시원하고 깔끔한 육수에 유부를 첨가하여 만든 대표적인 우동입니다.,6000,,농심유부우동,2022-07-28,S000001001,2024-05-07,SYSTEM,Y,N,S000001,0010,경부선,4,273,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,표준레시피 순두부 베이스와 볶음양념을 넣고 팔팔 끓여 내는게 특징이며 구수한 맛이 특징.,9000,"순두부200g호박20g양파20g
바지락20g돈민찌40g
간마늘5g진간장5ml
참기름3g식용유5ml
고추가루5g다진파20g
소금3g계란25g",순두부찌개,2024-04-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,275,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,더이상 설명이 필요없는 휴게소 대표 간식 메뉴입니다.,3500,,호도과자,2024-04-08,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,1139,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,휴게소 대표 간식 메뉴 반건조 오징어를 맥반석에 구워 고추장과 함께 제공되는 메뉴입니다.,7000,,맥반석오징어구이,2022-07-28,S000001001,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,1140,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,8000,,옛날자장면,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,2705,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,"오로지 고속도로에서만 맛볼 수 있는 휴게소 별미 메뉴 EX라면입니다.
가성비 으뜸으로 휴게소 방문시 꼭 맛보세요",4000,,(실속)EX라면,2024-04-19,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,6331,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,9500,,직화 제육 덮밥,2024-04-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,7252,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,10000,,교동짬뽕,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,8657,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,10000,,새우볶음밥,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,8659,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,2800,,소미미단팥빵,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,8661,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,"매운맛, 야채맛, 오징어맛",4500,,삼진어묵,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,8662,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,10500,,옛날돈까스,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10383,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,Y,,8500,,말죽거리소고기국밥,2024-04-03,MANN003,2024-05-07,SYSTEM,N,Y,S000001,0010,경부선,4,10384,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,10000,,맛남愛함박,2023-08-03,MANN003,2024-05-07,SYSTEM,Y,N,S000001,0010,경부선,4,10385,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,7000,,바지락미역국,2024-04-03,MANN003,2024-05-07,SYSTEM,N,Y,S000001,0010,경부선,4,10386,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,12000,,말죽거리한우곰탕,2023-08-03,MANN003,2024-05-07,SYSTEM,Y,N,S000001,0010,경부선,4,10387,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,11000,,매운돈까스,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10391,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,7000,,잔치국수,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10392,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,10000,,돈비국수,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10393,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,8000,,국물비빔국수,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10394,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,9000,,돈잔국수,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10395,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,10000,,돈모밀국수,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10396,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,8000,,냉모밀,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10397,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,12000,,소고기짬뽕,2023-08-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,10398,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,9000,,명인돼지고기김치찌개,2024-04-03,MANN003,2024-05-07,SYSTEM,N,Y,S000001,0010,경부선,4,12531,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,9000,,돌솥비빔밥,2024-04-03,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,12532,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,6500,,농심김치우동,2024-04-09,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,12533,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,10000,,꼬막비빔밥,2024-04-06,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,12607,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,N,,6500,,해물통통라면,2024-04-06,MANN003,2024-05-07,SYSTEM,N,N,S000001,0010,경부선,4,12608,000001,서울만남(부산)휴게소,서울 서초구 원지동10-16
