direction	diselPrice	gasolinePrice	lpgPrice	lpgYn	oilCompany	serviceAreaCode	telNo	routeCode	routeName	serviceAreaCode2	serviceAreaName	svarAddr	restNm	svarCd
밀양	"1,499원"	"1,688원"	X	N	AD	B00271	052-977-2243							
순천	"1,505원"	"1,670원"	X	N	AD	B00269	061-864-5008							
울산	"1,499원"	"1,688원"	X	N	AD	B00270	052-977-3243							
제천	"1,535원"	"1,689원"	"1,090원"	Y	SK	B00268	070-4172-8087							
평택	"1,535원"	"1,689원"	"1,090원"	Y	SK	B00272	070-4172-8085							
부산	"1,510원"	"1,630원"	998원	Y	AD	B00001	02-573-7430	10	경부선	2	서울만남(부산)주유소	서울시 서초구 원지동10-16	서울만남(부산)	1
부산	"1,505원"	"1,657원"	980원	Y	AD	B00002	031-286-5185	10	경부선	6	기흥(부산)주유소	경기도 용인시 기흥읍공세리 277-7	기흥(부산)	5
부산	"1,504원"	"1,665원"	"1,004원"	Y	AD	B00014	031-651-5385	10	경부선	10	안성(부산)주유소	경기 안성시 원곡면반제리 137-3	안성(부산)	9
부산	"1,509원"	"1,665원"	946원	Y	AD	B00021	041-557-6161	10	경부선	14	망향(부산)주유소	충남 천안시 서북구 성거읍석문길98	망향(부산)	13
부산	"1,508원"	"1,665원"	"1,085원"	Y	AD	B00022	043-269-0843	10	경부선	22	옥산(부산)주유소	청주시 흥덕구 옥산면 경부고속도로 309-1	옥산(부산)	21
부산	"1,519원"	"1,679원"	"1,090원"	Y	AD	B00024	041-552-6367	10	경부선	18	천안호두(부산)주유소	충남 천안시 수신면신풍리 348	천안호두(부산)	17
부산	"1,502원"	"1,665원"	946원	Y	AD	B00026	043-269-4434	10	경부선	27	죽암(부산)주유소	충북 청주시 서원구 현도면 경부고속도로287 죽암(부산)주유소	죽암(부산)	26
부산	"1,499원"	"1,688원"	X	N	AD	B00027	043-733-0439	10	경부선	35	금강(부산)주유소	충북 옥천군 동이면조령리 568	금강(부산)	34
부산	"1,501원"	"1,647원"	"1,068원"	Y	AD	B00035	043-742-5853	10	경부선	37	황간(부산)주유소	충북 영동군 황간면회포리 산1-9	황간(부산)	36
부산	"1,498원"	"1,673원"	X	N	AD	B00048	054-430-0502	10	경부선	41	추풍령(부산)주유소	경북 김천시 봉산면광천리 699-2	추풍령(부산)	40
부산	"1,493원"	"1,669원"	"1,000원"	Y	AD	B00051	053-851-6110	10	경부선	51	평사(부산)주유소	경북 경산시 진량읍경부고속도로 105 평사(부산방향)주유소	평사(부산)	50
부산	"1,478원"	"1,669원"	980원	Y	AD	B00052	054-975-1734	10	경부선	45	칠곡(부산)주유소	경북 칠곡군 왜관읍아곡리 산239-5	칠곡(부산)	44
부산	"1,499원"	"1,688원"	"1,078원"	Y	AD	B00081	043-731-8524	10	경부선	31	옥천(부산)주유소	충북 옥천군 옥천읍매화리 28-1	옥천(부산)	30
부산	"1,508원"	"1,667원"	"1,025원"	Y	AD	B00121	054-748-3427	10	경부선	56	경주(부산)주유소	경북 경주시 내남면월산리 산43-1	경주(부산)	55
부산	"1,494원"	"1,667원"	"1,099원"	Y	AD	B00162	054-435-0266	10	경부선	343	김천(부산)주유소	경북 김천시 농소면신촌리 730-2	김천(부산)	342
부산	"1,498원"	"1,647원"	"1,098원"	Y	AD	B00179	055-372-6163	10	경부선	373	통도사(부산)주유소	경남 양산시 하북면순지리 89-5	통도사(부산)	372
부산	"1,599원"	"1,749원"	X	N	SK	B00183	043-732-0081	10	경부선	405	옥천만남의광장주유소	충북 옥천군 옥천읍중앙로 135	옥천만남광장	
부산	"1,478원"	"1,669원"	X	N	AD	B00200	054-751-4600	10	경부선	485	건천(부산)주유소	경북 경주시 건천읍경부고속도로 77	건천(부산)	54
서울	"1,501원"	"1,637원"	"1,016원"	Y	AD	B00003	031-664-4096	10	경부선	8	안성(서울)주유소	경기도 안성군 원곡면산하리 산68-6	안성(서울)	7
서울	"1,506원"	"1,678원"	X	N	AD	B00012	031-262-4602	10	경부선	4	죽전(서울)주유소	경기 용인시 죽전동866-2	죽전(서울)	3
서울	"1,544원"	"1,699원"	"1,040원"	Y	SK	B00023	041-555-3001	10	경부선	16	천안삼거리(서울)주유소	충남 천안시 구성동155-5	천안삼거리(서울)	15
서울	"1,499원"	"1,665원"	"1,078원"	Y	AD	B00025	043-260-5341	10	경부선	25	죽암(서울)주유소	충북 청원군 현도면죽전리 40	죽암(서울)	24
서울	"1,500원"	"1,647원"	"1,006원"	Y	AD	B00033	043-733-9924	10	경부선	33	옥천(서울)주유소	충북 옥천군 옥천읍매화리 43-7	옥천(서울)	32
서울	"1,501원"	"1,647원"	X	N	AD	B00034	043-742-1266	10	경부선	39	황간(서울)주유소	충북 영동군 황간면회포리 1-8	황간(서울)	38
서울	"1,494원"	"1,549원"	"1,149원"	Y	AD	B00036	041-588-2184	10	경부선	12	입장거봉포도(서울)주유소	충남 천안시 입장면가산리 362-6	입장거봉포도(서울)	11
서울	"1,501원"	"1,647원"	"1,006원"	Y	AD	B00047	054-439-3187	10	경부선	43	추풍령(서울)주유소	경북 김천시 봉산면광천리 180-2	추풍령(서울)	42
서울	"1,493원"	"1,669원"	"1,000원"	Y	AD	B00049	054-975-2544	10	경부선	47	칠곡(서울)주유소	경북 칠곡군 왜관읍아곡리 산149	칠곡(서울)	46
