bsopAdtnlFcltCd,cocrPrkgTrcn,dspnPrkgTrcn,fscarPrkgTrcn,gudClssCd,gudClssNm,hdqrCd,hdqrNm,mtnofCd,mtnofNm,pstnoCd,routeCd,routeNm,rprsTelNo,svarAddr,svarCd,svarGsstClssCd,svarGsstClssNm,svarNm,sliced_rest,wifi,satisfaction,electric_car,nursing_room,pharmacy,Braile_block,pet
A00078,73,4,43,1,하행,600000,대구경북본부,610200,대구,780900.0,10,경부선,0547516890,경북 경주시 건천읍 방내리 14,54,0,휴게소,건천(부산)휴게소,건천(부산),true,2.0,true,true,false,true,
A00077,72,4,25,0,상행,600000,대구경북본부,610200,대구,780900.0,10,경부선,0547517401,경북 경주시 건천읍 금척리 683-2,52,0,휴게소,건천(서울)휴게소,건천(서울),true,1.0,true,true,false,true,
000453,0,0,0,1,하행,600000,대구경북본부,610200,대구,702801.0,10,경부선,0530000000,대구 북구 검단동 543-2 검단졸음쉼터,453,0,휴게소,검단졸음쉼터(부산),검단졸음쉼터(부산),false,,false,false,false,false,
000452,0,0,0,0,상행,600000,대구경북본부,610200,대구,702800.0,10,경부선,0530000000,대구 북구 검단동 376-11 검단졸음쉼터,452,0,휴게소,검단졸음쉼터(서울),검단졸음쉼터(서울),false,,false,false,false,false,
A00070,149,215,62,0,상행,600000,대구경북본부,610200,대구,712830.0,10,경부선,0538525243,경북 경산시 진량면 신상리 995-3,48,0,휴게소,경산(서울)휴게소,경산(서울),true,,true,true,false,true,
A00107,146,6,142,1,하행,700000,부산경남본부,710900,서울산,38196.0,10,경부선,0547483195,경북 경주시 내남면 경부고속도로 59 (월산리) 경주(부산)휴게소,55,0,휴게소,경주(부산)휴게소,경주(부산),true,1.0,true,true,false,true,
A00037,288,335,38,1,하행,400000,대전충남본부,410500,영동,373830.0,10,경부선,0437312233,충북 옥천군 동이면 조령리 568,34,0,휴게소,금강(부산)휴게소,금강(부산),true,,true,true,false,true,
A00003,370,454,74,1,하행,200000,수도권본부,210300,수원,17100.0,10,경부선,0312865001,경기 용인시 기흥구 공세로 173 기흥휴게소,5,0,휴게소,기흥(부산)휴게소,기흥(부산),true,1.0,true,true,false,true,
A00230,0,0,0,1,하행,200000,수도권본부,210300,수원,449902.0,10,경부선,0312828900,경기 용인시 기흥읍 공세리 290-1,408,0,휴게소,기흥복합휴게소,기흥복합,false,,false,false,false,false,
A00184,113,18,66,1,하행,600000,대구경북본부,610100,구미,740882.0,10,경부선,0544350211,경북 김천시 농소면 신촌리 730-2,342,0,휴게소,김천(부산)휴게소,김천(부산),true,,true,true,false,true,
A00163,105,6,51,0,상행,600000,대구경북본부,610100,구미,740882.0,10,경부선,0544331523,경북 김천시 농소면 신촌리 728-1,306,0,휴게소,김천(서울)휴게소,김천(서울),true,,true,true,false,true,
A00030,289,402,93,1,하행,400000,대전충남본부,410100,천안,330830.0,10,경부선,0415574000,충남 천안시 성거읍 요방리 121,13,0,휴게소,망향(부산)휴게소,망향(부산),true,2.0,true,true,false,true,
