gudClssCd,routeCd,routeNm,rprsTelNo,svarAddr,svarCd,svarNm,sliced_rest,wifi,satisfaction,electric_car,nursing_room,pharmacy,Braile_block,pet,latitude,longitude,hdqrCd
1,10,경부선,0547516890,경북 경주시 건천읍 방내리 14,54,건천(부산)휴게소,건천(부산),True,2.0,True,True,False,True,False,35.830716,129.1093101,600000
0,10,경부선,0547517401,경북 경주시 건천읍 금척리 683-2,52,건천(서울)휴게소,건천(서울),True,1.0,True,True,False,True,False,35.831894,129.109244,600000
1,10,경부선,0530000000,대구 북구 검단동 543-2 검단졸음쉼터,453,검단졸음쉼터(부산),검단졸음쉼터(부산),False,,False,False,False,False,False,,,600000
0,10,경부선,0530000000,대구 북구 검단동 376-11 검단졸음쉼터,452,검단졸음쉼터(서울),검단졸음쉼터(서울),False,,False,False,False,False,False,,,600000
0,10,경부선,0538525243,경북 경산시 진량면 신상리 995-3,48,경산(서울)휴게소,경산(서울),True,,True,True,False,True,False,35.879323,128.810331,600000
1,10,경부선,0547483195,경북 경주시 내남면 경부고속도로 59 (월산리) 경주(부산)휴게소,55,경주(부산)휴게소,경주(부산),True,1.0,True,True,False,True,False,35.724761,129.1929501,700000
1,10,경부선,0437312233,충북 옥천군 동이면 조령리 568,34,금강(부산)휴게소,금강(부산),True,,True,True,False,True,False,36.279148,127.672231,400000
1,10,경부선,0312865001,경기 용인시 기흥구 공세로 173 기흥휴게소,5,기흥(부산)휴게소,기흥(부산),True,1.0,True,True,False,True,False,37.235125,127.104595,200000
1,10,경부선,0312828900,경기 용인시 기흥읍 공세리 290-1,408,기흥복합휴게소,기흥복합,False,,False,False,False,False,False,,,200000
1,10,경부선,0544350211,경북 김천시 농소면 신촌리 730-2,342,김천(부산)휴게소,김천(부산),True,,True,True,False,True,False,36.129252,128.164782,600000
0,10,경부선,0544331523,경북 김천시 농소면 신촌리 728-1,306,김천(서울)휴게소,김천(서울),True,,True,True,False,True,False,36.131107,128.164009,600000
1,10,경부선,0415574000,충남 천안시 성거읍 요방리 121,13,망향(부산)휴게소,망향(부산),True,2.0,True,True,False,True,False,36.8556501,127.180929,400000
1,10,경부선,0310000000,"경기 안산시 상록구 장하동 141-2 서서울톨게이트, 목포방향",433,서서울(목포)졸음쉼터,서서울(목포)졸음쉼터,False,,False,False,False,False,False,,,200000
0,10,경부선,0310000000,"경기 안산시 상록구 장하동 산 8-1 서서울톨게이트, 서울방향",432,서서울(서울)졸음쉼터,서서울(서울)졸음쉼터,False,,False,False,False,False,False,,,200000
1,10,경부선,025783372,서울 서초구 원지동 10-16,1,서울만남(부산)휴게소,서울만남(부산),True,2.0,True,True,False,True,False,37.460166,127.041908,200000
1,10,경부선,0317147255,경기 성남시 분당구 궁내동 257-20,370,서울하이패스센터쉼터,서울하이패스센터쉼터,False,,False,False,False,False,False,,,200000
